duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,department_change,division_change,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
104,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,50_to_54,50_to_54,Staff,0,0,0.0,104.3654976851852,wop6wqjCmsKGwqQ=,Retirement
105,.under_1,Administrative Services,16.7321,1,M,AMIND,U,A,30_to_34,30_to_34,Staff,0,0,0.0,105.3654976851852,wop6wqjCmsKFwqI=,Retirement
104,.under_1,Children Services,26.7381,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,104.36549768518519,wop6wqjCmsKFwqE=,Retirement
104,.under_1,Adult Services,26.7381,1,M,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,104.3654976851852,wop6wqjCmsKFwqA=,Retirement
104,.under_1,Children Services,14.4364,1,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0,0,0.0,104.36549768518518,wop6wqjCmsKFwp8=,Retirement
104,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0,0,0.0,104.3654976851852,wop6wqjCmsKFwp4=,Retirement
104,.under_1,Children Services,18.1933,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,104.36549768518519,wop6wqjCmcKDwqA=,Retirement
104,.under_1,Children Services,18.1933,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,104.3654976851852,wop6wqjCmcKDwp8=,Retirement
104,.under_1,Children Services,25.7097,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,104.3654976851852,wop6wqjCmcKDwp4=,Retirement
104,.under_1,Children Services,25.7097,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,104.3654976851852,wop6wqjCmMKLwp0=,Retirement
