duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
268,.under_1,Self Sufficiency,17.562552,3,M,NSPEC,U,A,55_to_59,55_to_59,Staff,0.005805417910447767,268.0,wop6wqXCm8KIwqM=,V Termination
320,.under_1,Self Sufficiency,17.562552,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0.0,320.0,wop6wqXCm8KIwqI=,V Termination
92,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,92.0,wop6wqXCm8KIwqE=,V Termination
308,.under_1,Self Sufficiency,17.562552,2,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0050514675324675375,308.0,wop6wqXCm8KIwp0=,V Termination
293,.under_1,Self Sufficiency,17.562552,2,M,NSPEC,U,A,30_to_34,30_to_34,Staff,0.002305402730375426,293.0,wop6wqXCm8KHwqQ=,V Termination
135,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,.under_29,.under_29,Staff,0.006521251851851865,135.0,wop6wqXCm8KHwqA=,V Termination
253,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.00347971936758894,253.0,wop6wqXCmsKGwp0=,V Termination
363,.under_1,Self Sufficiency,17.562552,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,363.0,wop6wqXCmsKFwqY=,V Termination
344,.under_1,Self Sufficiency,17.562552,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,344.0,wop6wqXCmsKFwqA=,V Termination
50,.under_1,Other,20.2864,2,,NSPEC,,,,,Staff,0.08559400000000003,36.0,wop6wqXCmsKDwqM=,V Termination
373,1_to_2,Self Sufficiency,17.562552,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,373.0,wop6wqXCmsKDwp0=,V Termination
113,.under_1,Self Sufficiency,19.5237,1,F,NSPEC,U,A,55_to_59,55_to_59,Staff,0.0,113.0,wop6wqXCmcKMwqU=,IV Termination
238,.under_1,Self Sufficiency,16.887069,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,238.0,wop6wqXCmcKMwqM=,V Termination
